session_id,site1,site2,site3,site4,site5,site6,site7,site8,site9,site10,user_id
0,50,50,169,50,50,95,4,21,110,116,33
1,21,39,1,7,4,1,1,7,4,1,33
2,39,39,56,39,1,1,600,1,315,315,33
3,39,1,1,1,67,64,92,123,64,67,33
4,1,64,123,64,67,39,1,1,315,4,33
5,39,1,249,1,249,1,22,49,249,7,33
6,537,249,7,18,3,7,18,46,249,7,33
7,46,39,1,1,1,19,8,19,6,1,33
8,8,111,6,7,8,19,8,111,19,6,33
9,7,19,6,8,8,8,6,19,9,19,33
10,11,11,11,19,6,8,9,9,11,19,33
11,6,8,9,11,6,11,9,8,19,4,33
12,1,1,1,19,120,120,515,39,430,515,33
13,430,120,120,120,120,120,120,120,120,120,33
14,120,120,50,4,21,95,110,21,39,4,33
15,34,34,34,471,471,34,34,1,17,7,33
16,4,7,1,4,67,64,1,67,92,64,33
17,123,1,92,64,67,67,123,64,67,92,33
18,1,65,64,123,1,67,232,1,179,232,33
19,1,231,179,463,76,56,3,1,232,179,33
20,231,1,65,1,1,1,65,1,1,1,33
21,1,95,4,21,39,21,307,17,17,44,33
22,44,50,17,17,124,79,124,44,342,124,33
23,124,12,12,60,342,12,142,5,124,142,33
24,12,53,97,12,138,50,124,387,83,342,33
25,124,56,387,124,60,53,53,12,17,60,33
26,12,124,125,5,5,39,1,7,4,1,33
27,7,4,1,19,8,6,19,1,561,6,33
28,8,8,6,6,8,6,8,19,19,65,33
29,1,1,179,232,1,231,463,379,1,179,33
30,232,379,3,231,1,179,231,179,1,1,33
31,65,23,94,21,4,23,94,1,1,278,33
32,278,278,278,1,39,1,1,1,1,39,33
33,4,39,1,1,1,334,297,326,21,1,33
34,634,297,588,326,293,49,297,195,293,22,33
35,10,3,18,293,297,14,14,293,334,3,33
36,326,334,22,18,1,1,23,23,1,23,33
37,1,1,23,1,23,324,1,359,681,324,33
38,534,359,4,544,359,545,324,605,4,1,33
39,1,254,1,639,4,254,225,363,255,225,33
40,472,363,254,22,255,18,472,49,119,239,33
41,423,119,255,119,423,264,254,104,239,205,33
42,104,490,4,104,206,272,272,225,486,486,33
43,1,1,509,509,1,1,187,187,1,1,33
44,39,1,1,1,23,23,1,149,149,149,33
45,341,656,135,149,503,503,39,169,50,50,33
46,39,4,307,17,17,44,44,17,44,12,33
47,79,124,12,124,53,124,5,12,60,53,33
48,83,17,138,125,12,124,50,229,95,4,33
49,110,21,116,21,21,39,1,4,7,4,33
50,4,7,1,253,161,371,49,669,1,253,33
51,161,10,371,157,253,18,536,22,161,3,33
52,161,371,253,3,209,310,674,161,209,3,33
53,517,209,3,161,10,3,161,10,517,310,33
54,310,3,637,566,161,56,1,76,1,1,33
55,18,3,7,46,14,46,7,14,10,3,33
56,18,7,14,1,3,3,18,7,14,3,33
57,7,18,14,1,25,25,25,25,1,4,33
58,57,25,1,57,4,25,346,7,46,346,33
59,7,4,40,346,40,4,25,205,205,172,33
60,172,172,205,104,104,172,104,172,172,172,33
61,104,362,4,104,104,205,104,104,374,362,33
62,104,362,374,25,435,435,25,25,7,14,33
63,7,10,18,3,14,25,25,1,505,64,33
64,123,123,505,64,1,1,93,7,1,93,33
65,4,46,4,4,93,168,7,198,190,190,33
66,198,168,46,7,140,291,4,93,270,93,33
